year,week,count,sum,
2015,40,1,1,MIGRATED
2015,41,10,11,
2015,42,2,13,
2015,43,1,14,
2015,44,0,14,
2015,45,18240,18254,
2015,46,3598,21852,
2015,47,1074,22926,
2015,48,501,23427,
2016,1,321,23748,
2016,2,426,24174,
2016,3,310,24484,
2016,4,239,24723,
2016,5,300,25023,
2016,6,208,25231,
2016,7,224,25455,
2016,8,307,25762,
2016,9,258,26020,
2016,10,224,26244,
2016,11,188,26432,
2016,12,314,26746,
2016,13,257,27003,
2016,14,575,27578,
2016,15,563,28141,
2016,16,284,28425,
2016,17,246,28671,
2016,18,324,28995,
2016,19,205,29200,
2016,20,236,29436,
2016,21,266,29702,
2016,22,298,30000,
2016,23,441,30441,
2016,24,220,30661,
2016,25,272,30933,
2016,26,174,31107,
2016,27,156,31263,
2016,28,184,31447,
2016,29,383,31830,
2016,30,199,32029,
2016,31,162,32191,
2016,32,142,32333,
2016,33,244,32577,
2016,34,186,32763,
2016,35,234,32997,
2016,36,194,33191,
2016,37,158,33349,
2016,38,172,33521,
2016,39,172,33693,
2016,40,203,33896,
2016,41,238,34134,
2016,42,116,34250,
2016,43,115,34365,
2016,44,132,34497,
2016,45,152,34649,
2016,46,164,34813,
2016,47,122,34935,
2016,48,95,35030,
2017,1,144,35174,
2017,2,171,35345,
2017,3,186,35531,
2017,4,187,35718,
2017,5,196,35914,
2017,6,144,36058,
2017,7,168,36226,
2017,8,155,36381,
2017,9,168,36549,
2017,10,147,36696,
2017,11,153,36849,
2017,12,259,37108,
2017,13,239,37347,
2017,14,117,37464,
2017,15,133,37597,
2017,16,146,37743,
2017,17,161,37904,
2017,18,126,38030,
